A3,2.0,2.25
D6,2.25,4.75
D#6,4.75,5.25
D6,5.25,5.5
A#5,5.75,6.0
A#5,6.0,6.25
F#5,6.25,6.5
G5,6.5,6.75
G5,6.75,7.5
G5,7.5,7.75
C#6,8.5,8.75
D6,8.75,9.0
D#6,9.0,9.5
D6,9.5,10.0
D#6,10.0,10.5
D6,10.5,11.0
D#6,11.0,11.75
G6,11.75,12.0
G6,12.0,12.5
G6,12.5,12.75
D#6,13.25,13.75
D6,13.75,14.25
D#6,14.25,14.5
D#6,14.5,14.75
E6,14.75,15.0
D6,15.0,15.25
B5,15.5,15.75
F#5,16.0,16.25
G5,16.25,17.25
G#5,17.25,17.5
G5,17.5,18.0
G#5,18.0,18.25
G#5,18.25,18.5
G5,18.5,18.75
G5,18.75,19.0
G5,19.0,19.5
G5,19.5,19.75
G#5,19.75,20.0
G5,20.25,20.5
